Rank,Feature,Importance_Score,Selected,Mean,Std,Min,Max
1,HALSTEAD_LEVEL,10.078707695007324,Yes,0.3184606205250597,0.31500810546402236,0.0,2.0
2,ESSENTIAL_COMPLEXITY,9.649702072143555,Yes,1.7010739856801909,2.2406339810220923,1.0,26.0
3,HALSTEAD_ERROR_EST,9.441192626953125,Yes,0.08821599045346064,0.1786616343508837,0.0,2.64
4,LOC_BLANK,9.439279556274414,Yes,1.8013126491646778,3.7910213731978466,0.0,35.0
5,LOC_COMMENTS,9.38548469543457,Yes,0.9391408114558473,3.144651214579182,0.0,44.0
6,LOC_EXECUTABLE,9.168891906738281,Yes,14.931384248210025,25.118050941457188,0.0,262.0
7,NUM_UNIQUE_OPERATORS,9.166773796081543,Yes,7.754773269689737,5.7479502804195,0.0,37.0
8,HALSTEAD_EFFORT,8.937790870666504,Yes,5419.725865155132,18024.71288910225,0.0,324803.51
9,HALSTEAD_VOLUME,8.929403305053711,Yes,266.3683293556086,535.124561069899,0.0,7918.82
10,NUM_OPERATORS,8.916657447814941,Yes,31.816229116945106,53.32303917264819,0.0,678.0
11,LOC_CODE_AND_COMMENT,8.898244857788086,No,0.1247016706443914,0.690635593411431,0.0,12.0
12,HALSTEAD_PROG_TIME,8.618325233459473,No,301.096223150358,1001.3728286198029,0.0,18044.64
13,HALSTEAD_CONTENT,8.606048583984375,No,21.6968138424821,21.920082601243198,0.0,193.06
14,NUM_OPERANDS,8.46693229675293,No,19.255369928400956,32.96459160227626,0.0,428.0
15,DESIGN_COMPLEXITY,8.399203300476074,No,2.594868735083532,3.494295211846783,1.0,45.0
16,BRANCH_COUNT,8.192985534667969,No,4.766706443914081,7.998349912645524,1.0,89.0
17,CYCLOMATIC_COMPLEXITY,8.060262680053711,No,2.8872315035799523,4.001468891054333,1.0,45.0
18,NUM_UNIQUE_OPERANDS,8.005664825439453,No,9.770883054892602,12.485215593404,0.0,120.0
19,HALSTEAD_DIFFICULTY,7.942694664001465,No,6.8689558472553705,7.865785469890968,0.0,51.24
20,HALSTEAD_LENGTH,7.846360206604004,No,51.07159904534606,86.02883726207979,0.0,1106.0
21,LOC_TOTAL,7.555146217346191,No,20.713007159904535,30.808052411656142,1.0,288.0
